id;Kanji;Grade;"Reading within Joyo";"# of On";"# of Meanings of On"
292;丸;2;ガン、まる、まる-い、まる-める;1;4
548;言;2;ゲン、ゴン、い-う、こと;2;4
558;戸;2;コ、と;1;4
818;時;2;ジ、とき;1;4
320;帰;2;キ、かえ-る、かえ-す;1;4
832;室;2;シツ、むろ;1;4
584;語;2;ゴ、かた-る、かた-らう;1;4
588;工;2;コウ、ク;2;4
589;公;2;コウ、おおやけ;1;4
602;考;2;コウ、かんが-える;1;4
1373;茶;2;チャ、サ;2;4
95;園;2;エン、その;1;4
98;遠;2;エン、[オン]、とお-い;2;4
1639;麦;2;バク、むぎ;1;4
1906;万;2;マン、バン;2;4
398;京;2;キョウ、ケイ;2;4
670;今;2;コン、キン、いま;2;4
159;歌;2;カ、うた、うた-う;1;4
1190;線;2;セン;1;4
946;書;2;ショ、か-く;1;4
1211;組;2;ソ、く-む、くみ;1;4
197;外;2;ガイ、ゲ、そと、ほか、はず-す、はず-れる;2;4
1498;刀;2;トウ、かたな;1;4
2022;来;2;ライ、く-る、きた-る、きた-す;1;4
2038;理;2;リ;1;4
1031;食;2;ショク、[ジキ]、く-う、く-らう、た-べる;2;5
545;元;2;ゲン、ガン、もと;2;5
842;社;2;シャ、やしろ;1;5
1356;池;2;チ、いけ;1;5
2130;話;2;ワ、はな-す、はなし;1;5
869;首;2;シュ、くび;1;5
1895;毎;2;マイ;1;5
1656;半;2;ハン、なか-ば;1;5
659;谷;2;コク、たに;1;5
1949;門;2;モン、かど;1;5
1954;野;2;ヤ、の;1;5
167;画;2;ガ、カク;2;5
211;角;2;カク、かど、つの;1;5
723;作;2;サク、サ、つく-る;2;5
1787;聞;2;ブン、モン、き-く、き-こえる;2;5
1097;数;2;スウ、[ス]、かず、かぞ-える;2;6
1110;声;2;セイ、[ショウ]、こえ、[こわ];2;6
1406;朝;2;チョウ、あさ;1;6
1928;明;2;メイ、ミョウ、あ-かり、あか-るい、あか-るむ、あか-らむ、あき-らか、あ-ける、あ-く、あ-くる、あ-かす;2;6
1418;直;2;チョク、ジキ、ただ-ちに、なお-す、なお-る;2;6
1221;走;2;ソウ、はし-る;1;6
1501;当;2;トウ、あ-たる、あ-てる;1;6
478;計;2;ケイ、はか-る、はか-らう;1;6
228;楽;2;ガク、ラク、たの-しい、たの-しむ;2;6
753;算;2;サン;1;6
1570;内;2;ナイ、[ダイ]、うち;2;7
1065;新;2;シン、あたら-しい、あら-た、にい;1;7
316;記;2;キ、しる-す;1;7
603;行;2;コウ、ギョウ、[アン]、い-く、ゆ-く、おこな-う;3;7
175;会;2;カイ、エ、あ-う;2;7
186;絵;2;カイ、エ;2;7
1020;場;2;ジョウ、ば;1;7
270;間;2;カン、ケン、あいだ、ま;2;8
1817;歩;2;ホ、ブ、[フ]、ある-く、あゆ-む;3;8
1581;肉;2;ニク;1;8
1080;図;2;ズ、ト、はか-る;2;8
144;科;2;カ;1;8
173;回;2;カイ、[エ]、まわ-る、まわ-す;2;8
1041;心;2;シン、こころ;1;10
1829;方;2;ホウ、かた;1;10
1680;番;2;バン;1;10
1295;体;2;タイ、テイ、からだ;2;11
1314;台;2;ダイ、タイ;2;11
1397;長;2;チョウ、なが-い;1;11
1992;用;2;ヨウ、もち-いる;1;11
431;近;2;キン、ちか-い;1;12
762;止;2;シ、と-まる、と-める;1;12
1475;点;2;テン;1;13
693;才;2;サイ;1;15
785;思;2;シ、おも-う;1;21
1355;地;2;チ、ジ;2;22
1154;切;2;セツ、[サイ]、き-る、き-れる;2;22
1764;風;2;フウ、[フ]、かぜ、[かざ];2;23
1785;分;2;ブン、フン、ブ、わ-ける、わ-かれる、わ-かる、わ-かつ;3;25
46;引;2;イン、ひ-く、ひ-ける;1;29
