id;Kanji;Grade;"Reading within Joyo";"# of On";"# of Meanings of On"
769;矢;2;シ、や;1;1
1029;色;2;ショク、シキ、いろ;2;1
1285;多;2;タ、おお-い;1;1
780;姉;2;シ、あね;1;1
1556;読;2;ドク、トク、[トウ]、よ-む;3;1
790;紙;2;シ、かみ;1;1
1574;南;2;ナン、[ナ]、みなみ;2;1
808;寺;2;ジ、てら;1;1
811;自;2;ジ、シ、みずか-ら;2;1
559;古;2;コ、ふる-い、ふる-す;1;1
60;羽;2;ウ、は、はね;1;1
67;雲;2;ウン、くも;1;1
1609;馬;2;バ、うま、[ま];1;1
1875;北;2;ホク、きた;1;1
597;光;2;コウ、ひか-る、ひかり;1;1
1109;西;2;セイ、サイ、にし;2;1
1622;売;2;バイ、う-る、う-れる;1;1
1628;買;2;バイ、か-う;1;1
1118;星;2;セイ、[ショウ]、ほし;2;1
1896;妹;2;マイ、いもうと;1;1
628;高;2;コウ、たか-い、たか、たか-まる、たか-める;1;1
632;黄;2;コウ、オウ、き、[こ];2;1
891;秋;2;シュウ、あき;1;1
1405;鳥;2;チョウ、とり;1;1
898;週;2;シュウ;1;1
391;魚;2;ギョ、うお、さかな;1;1
137;何;2;カ、なに、[なん];1;1
652;合;2;ゴウ、ガッ、[カッ]、あ-う、あ-わす、あ-わせる;3;1
1933;鳴;2;メイ、な-く、な-る、な-らす;1;1
146;夏;2;カ、[ゲ]、なつ;2;1
147;家;2;カ、ケ、いえ、や;2;1
661;国;2;コク、くに;1;1
411;教;2;キョウ、おし-える、おそ-わる;1;1
1180;船;2;セン、ふね、[ふな];1;1
1953;夜;2;ヤ、よ、よる;1;1
930;春;2;シュン、はる;1;1
1197;前;2;ゼン、まえ;1;1
1738;父;2;フ、ちち;1;1
1483;電;2;デン;1;1
471;形;2;ケイ、ギョウ、かた、かたち;2;1
1499;冬;2;トウ、ふゆ;1;1
1504;東;2;トウ、ひがし;1;1
1524;答;2;トウ、こた-える、こた-え;1;1
1801;米;2;ベイ、マイ、こめ;2;2
551;原;2;ゲン、はら;1;2
299;顔;2;ガン、かお;1;2
309;汽;2;キ;1;2
578;午;2;ゴ;1;2
861;弱;2;ジャク、よわ-い、よわ-る、よわ-まる、よわ-める;1;2
1384;昼;2;チュウ、ひる;1;2
362;弓;2;キュウ、ゆみ;1;2
381;牛;2;ギュウ、うし;1;2
1160;雪;2;セツ、ゆき;1;2
1941;毛;2;モウ、け;1;2
662;黒;2;コク、くろ、くろ-い;1;2
1430;通;2;ツウ、[ツ]、とお-る、とお-す、かよ-う;2;2
182;海;2;カイ、うみ;1;2
706;細;2;サイ、ほそ-い、ほそ-る、こま-か、こま-かい;1;2
1474;店;2;テン、みせ;1;2
1531;頭;2;トウ、ズ、[ト]、あたま、かしら;3;2
768;市;2;シ、いち;1;3
1536;同;2;ドウ、おな-じ;1;3
1293;太;2;タイ、タ、ふと-い、ふと-る;2;3
1823;母;2;ボ、はは;1;3
295;岩;2;ガン、いわ;1;3
1069;親;2;シン、おや、した-しい、した-しむ;1;3
580;後;2;ゴ、コウ、のち、うし-ろ、あと、おく-れる;2;3
1357;知;2;チ、し-る;1;3
594;広;2;コウ、ひろ-い、ひろ-まる、ひろ-める、ひろ-がる、ひろ-げる;1;3
596;交;2;コウ、まじ-わる、まじ-える、ま-じる、ま-ざる、ま-ぜる、か-う、か-わす;1;3
1126;晴;2;セイ、は-れる、は-らす;1;3
410;強;2;キョウ、ゴウ、つよ-い、つよ-まる、つよ-める、し-いる;2;3
1440;弟;2;テイ、[ダイ]、[デ]、おとうと;3;3
1971;友;2;ユウ、とも;1;3
961;少;2;ショウ、すく-ない、すこ-し;1;3
469;兄;2;ケイ、[キョウ]、あに;2;3
2012;曜;2;ヨウ;1;3
234;活;2;カツ;1;3
2037;里;2;リ、さと;1;3
1542;道;2;ドウ、[トウ]、みち;2;4
