id;Kanji;Grade;"Reading within Joyo";"# of On";"# of Meanings of On"
1560;届;6;とど-ける、とど-く;0;0
243;株;6;かぶ;0;0
257;看;6;カン;1;1
1794;陛;6;ヘイ;1;1
534;絹;6;ケン、きぬ;1;1
792;視;6;シ;1;1
537;憲;6;ケン;1;1
1057;針;6;シン、はり;1;1
1834;宝;6;ホウ、たから;1;1
557;己;6;コ、キ、おのれ;2;1
1088;推;6;スイ、お-す;1;1
1352;暖;6;ダン、あたた-か、あたた-かい、あたた-まる、あたた-める;1;1
1612;拝;6;ハイ、おが-む;1;1
1615;肺;6;ハイ;1;1
1616;俳;6;ハイ;1;1
88;延;6;エン、の-びる、の-べる、の-ばす;1;1
89;沿;6;エン、そ-う;1;1
860;若;6;ジャク、[ニャク]、わか-い、も-しくは;2;1
605;孝;6;コウ;1;1
617;皇;6;コウ、オウ;2;1
618;紅;6;コウ、[ク]、べに、くれない;2;1
1390;著;6;チョ、あらわ-す、いちじる-しい;1;1
1394;庁;6;チョウ;1;1
883;収;6;シュウ、おさ-める、おさ-まる;1;1
647;鋼;6;コウ、はがね;1;1
1431;痛;6;ツウ、いた-い、いた-む、いた-める;1;1
1687;批;6;ヒ;1;1
1695;秘;6;ヒ、ひ-める;1;1
1959;訳;6;ヤク、わけ;1;1
174;灰;6;カイ、はい;1;1
686;砂;6;サ、シャ、すな;2;1
1476;展;6;テン;1;1
709;裁;6;サイ、た-つ、さば-く;1;1
1222;奏;6;ソウ、かな-でる;1;1
1236;窓;6;ソウ、まど;1;1
213;革;6;カク、かわ;1;1
748;蚕;6;サン、かいこ;1;1
2030;卵;6;ラン、たまご;1;1
2031;覧;6;ラン;1;1
1015;城;6;ジョウ、しろ;1;1
2040;裏;6;リ、うら;1;1
1530;糖;6;トウ;1;1
1795;閉;6;ヘイ、と-じる、と-ざす、し-める、し-まる;1;2
776;私;6;シ、わたくし、わたし;1;2
536;権;6;ケン、[ゴン];2;2
794;詞;6;シ;1;2
1821;補;6;ホ、おぎな-う;1;2
287;簡;6;カン;1;2
555;源;6;ゲン、みなもと;1;2
556;厳;6;ゲン、[ゴン]、おごそ-か、きび-しい;2;2
304;机;6;キ、つくえ;1;2
1845;訪;6;ホウ、おとず-れる、たず-ねる;1;2
822;磁;6;ジ;1;2
1335;担;6;タン、かつ-ぐ、にな-う;1;2
1601;脳;6;ノウ;1;2
71;映;6;エイ、うつ-る、うつ-す、は-える;1;2
1101;寸;6;スン;1;2
846;射;6;シャ、い-る;1;2
1614;背;6;ハイ、せ、せい、そむ-く、そむ-ける;1;2
2128;論;6;ロン;1;2
882;樹;6;ジュ;1;2
627;降;6;コウ、お-りる、お-ろす、ふ-る;1;2
1931;盟;6;メイ;1;2
1171;宣;6;セン;1;2
1172;専;6;セン、もっぱ-ら;1;2
917;縦;6;ジュウ、たて;1;2
1686;否;6;ヒ、いな;1;2
663;穀;6;コク;1;2
949;署;6;ショ;1;2
1976;郵;6;ユウ;1;2
958;除;6;ジョ、[ジ]、のぞ-く;2;2
2017;翌;6;ヨク;1;2
997;傷;6;ショウ、きず、いた-む、いた-める;1;2
1771;腹;6;フク、はら;1;2
1260;臓;6;ゾウ;1;2
502;劇;6;ゲキ;1;2
801;誌;6;シ;1;3
1827;暮;6;ボ、く-れる、く-らす;1;3
303;危;6;キ、あぶ-ない、あや-うい、あや-ぶむ;1;3
1585;乳;6;ニュウ、ちち、ち;1;3
1083;垂;6;スイ、た-れる、た-らす;1;3
1358;値;6;チ、ね、あたい;1;3
344;疑;6;ギ、うたが-う;1;3
1124;盛;6;セイ、[ジョウ]、も-る、さか-る、さか-ん;2;3
1129;誠;6;セイ、まこと;1;3
889;宗;6;シュウ、ソウ;2;3
1413;潮;6;チョウ、しお;1;3
1940;模;6;モ、ボ;2;3
1173;泉;6;セン、いずみ;1;3
