id;Kanji;Grade;"Reading within Joyo";"# of On";"# of Meanings of On"
196;貝;1;かい;0;0
514;犬;1;ケン、いぬ;1;1
2076;林;1;リン、はやし;1;1
810;耳;1;ジ、みみ;1;1
829;七;1;シチ、なな、なな-つ、[なの];1;1
576;五;1;ゴ、いつ、いつ-つ;1;1
587;口;1;コウ、ク、くち;2;1
2125;六;1;ロク、む、む-つ、むっ-つ、[むい];1;1
1366;竹;1;チク、たけ;1;1
1630;白;1;ハク、ビャク、しろ、[しら]、しろ-い;2;1
359;九;1;キュウ、ク、ここの、ここの-つ;2;1
1647;八;1;ハチ、や、や-つ、やっ-つ、[よう];1;1
1138;夕;1;セキ、ゆう;1;1
138;花;1;カ、はな;1;1
907;十;1;ジュウ、ジッ、とお、と;2;1
744;三;1;サン、み、み-つ、みっ-つ;1;1
2045;立;1;リツ、[リュウ]、た-つ、た-てる;2;1
767;四;1;シ、よ、よ-つ、よっ-つ、よん;1;1
772;糸;1;シ、いと;1;2
1061;森;1;シン、もり;1;2
41;一;1;イチ、イツ、ひと、ひと-つ;2;2
1577;二;1;ニ、ふた、ふた-つ;1;2
1583;日;1;ニチ、ジツ、ひ、か;2;2
1593;年;1;ネン、とし;1;2
58;右;1;ウ、ユウ、みぎ;2;2
61;雨;1;ウ、あめ、[あま];1;2
843;車;1;シャ、くるま;1;2
1876;木;1;ボク、モク、き、[こ];2;2
87;円;1;エン、まる-い;1;2
133;火;1;カ、ひ、[ほ];1;2
1166;千;1;セン、ち;1;2
682;左;1;サ、ひだり;1;2
1480;田;1;デン、た;1;2
745;山;1;サン、やま;1;2
1279;村;1;ソン、むら;1;2
1070;人;1;ジン、ニン、ひと;2;3
1081;水;1;スイ、みず;1;3
1115;青;1;セイ、[ショウ]、あお、あお-い;2;3
1141;赤;1;セキ、[シャク]、あか、あか-い、あか-らむ、あか-らめる;2;3
1167;川;1;セン、かわ;1;3
1170;先;1;セン、さき;1;3
432;金;1;キン、コン、かね、[かな];2;3
1716;百;1;ヒャク;1;3
952;女;1;ジョ、ニョ、[ニョウ]、おんな、め;3;3
1263;足;1;ソク、あし、た-りる、た-る、た-す;1;3
513;月;1;ゲツ、ガツ、つき;2;4
516;見;1;ケン、み-る、み-える、み-せる;1;4
807;字;1;ジ、あざ;1;4
1348;男;1;ダン、ナン、おとこ;2;4
105;王;1;オウ;1;4
127;音;1;オン、イン、おと、ね;2;4
131;下;1;カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる;2;4
1926;名;1;メイ、ミョウ、な;2;4
1947;目;1;モク、[ボク]、め、[ま];2;4
926;出;1;シュツ、[スイ]、で-る、だ-す;2;4
427;玉;1;ギョク、たま;1;4
1493;土;1;ド、ト、つち;2;4
1584;入;1;ニュウ、い-る、い-れる、はい-る;1;5
365;休;1;キュウ、やす-む、やす-まる、やす-める;1;5
623;校;1;コウ;1;5
1396;町;1;チョウ、まち;1;5
959;小;1;ショウ、ちい-さい、こ、お;1;5
226;学;1;ガク、まな-ぶ;1;5
1107;生;1;セイ、ショウ、い-きる、い-かす、い-ける、う-まれる、う-む、お-う、は-える、は-やす、き、なま;2;6
1225;草;1;ソウ、くさ;1;6
1140;石;1;セキ、[シャク]、[コク]、いし;3;7
1219;早;1;ソウ、[サッ]、はや-い、はや-まる、はや-める;2;7
452;空;1;クウ、そら、あ-く、あ-ける、から;1;7
2074;力;1;リョク、リキ、ちから;2;8
1376;中;1;チュウ、[ジュウ]、なか;1;8
1378;虫;1;チュウ、むし;1;8
760;子;1;シ、ス、こ;2;8
1312;大;1;ダイ、タイ、おお、おお-きい、おお-いに;2;9
1106;正;1;セイ、ショウ、ただ-しい、ただ-す、まさ;2;11
1886;本;1;ホン、もと;1;11
1472;天;1;テン、あめ、[あま];1;13
1009;上;1;ジョウ、[ショウ]、うえ、[うわ]、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す;2;15
1786;文;1;ブン、モン、ふみ;2;15
863;手;1;シュ、て、[た];1;19
305;気;1;キ、ケ;2;30
