id;Kanji;Grade;"Reading within Joyo";"# of On";"# of Meanings of On"
1544;銅;5;ドウ;1;1
1545;導;5;ドウ、みちび-く;1;1
1037;織;5;ショク、シキ、お-る;2;1
274;幹;5;カン、みき;1;1
531;検;5;ケン;1;1
1555;独;5;ドク、ひと-り;1;1
1818;保;5;ホ、たも-つ;1;1
800;飼;5;シ、か-う;1;1
806;示;5;ジ、シ、しめ-す;2;1
812;似;5;ジ、に-る;1;1
1597;燃;5;ネン、も-える、も-やす、も-す;1;1
77;衛;5;エイ;1;1
1869;貿;5;ボウ;1;1
1400;張;5;チョウ、は-る;1;1
384;居;5;キョ、い-る;1;1
640;鉱;5;コウ;1;1
136;仮;5;カ、[ケ]、かり;2;1
1165;絶;5;ゼツ、た-える、た-やす、た-つ;1;1
685;査;5;サ;1;1
696;妻;5;サイ、つま;1;1
1464;適;5;テキ;1;1
1731;貧;5;ヒン、ビン、まず-しい;2;1
1740;布;5;フ、ぬの;1;1
1752;富;5;フ、[フウ]、と-む、とみ;2;1
1256;増;5;ゾウ、ま-す、ふ-える、ふ-やす;1;1
761;支;5;シ、ささ-える;1;1
277;慣;5;カン、な-れる、な-らす;1;2
1825;墓;5;ボ、はか;1;2
554;減;5;ゲン、へ-る、へ-らす;1;2
48;因;5;イン、よ-る;1;2
568;個;5;コ;1;2
323;規;5;キ;1;2
68;永;5;エイ、なが-い;1;2
73;営;5;エイ、いとな-む;1;2
1370;築;5;チク、きず-く;1;2
1117;政;5;セイ、[ショウ]、まつりごと;2;2
614;厚;5;コウ、あつ-い;1;2
1127;勢;5;セイ、いきお-い;1;2
1131;製;5;セイ;1;2
108;応;5;オウ、こた-える;1;2
109;往;5;オウ;1;2
879;授;5;ジュ、さず-ける、さず-かる;1;2
624;耕;5;コウ、たがや-す;1;2
1137;税;5;ゼイ;1;2
893;修;5;シュウ、[シュ]、おさ-める、おさ-まる;2;2
142;河;5;カ、かわ;1;2
153;過;5;カ、す-ぎる、す-ごす、あやま-つ、あやま-ち;1;2
1690;肥;5;ヒ、こ-える、こえ、こ-やす、こ-やし;1;2
1188;銭;5;セン、ぜに;1;2
430;均;5;キン;1;2
1454;提;5;テイ、さ-げる;1;2
176;快;5;カイ、こころよ-い;1;2
1968;輸;5;ユ;1;2
694;再;5;サイ、[サ]、ふたた-び;2;2
1721;評;5;ヒョウ;1;2
1997;容;5;ヨウ;1;2
742;雑;5;ザツ、ゾウ;2;2
1776;仏;5;ブツ、ほとけ;1;2
754;酸;5;サン、す-い;1;2
1273;属;5;ゾク;1;2
1282;損;5;ソン、そこ-なう、そこ-ねる;1;3
515;件;5;ケン;1;3
550;限;5;ゲン、かぎ-る;1;3
552;現;5;ゲン、あらわ-れる、あらわ-す;1;3
566;故;5;コ、ゆえ;1;3
1848;豊;5;ホウ、ゆた-か;1;3
827;識;5;シキ;1;3
1350;断;5;ダン、た-つ、ことわ-る;1;3
360;久;5;キュウ、[ク]、ひさ-しい;2;3
1658;犯;5;ハン、おか-す;1;3
1152;績;5;セキ;1;3
645;興;5;コウ、キョウ、おこ-る、おこ-す;2;3
648;講;5;コウ;1;3
1164;舌;5;ゼツ、した;1;3
1937;綿;5;メン、わた;1;3
927;述;5;ジュツ、の-べる;1;3
1465;敵;5;テキ、かたき;1;3
715;際;5;サイ、きわ;1;3
717;在;5;ザイ、あ-る;1;3
1750;婦;5;フ;1;3
483;経;5;ケイ、キョウ、へ-る;2;3
995;証;5;ショウ;1;3
755;賛;5;サン;1;3
1527;統;5;トウ、す-べる;1;3
248;刊;5;カン;1;3
1018;常;5;ジョウ、つね、とこ;1;3
2048;略;5;リャク;1;4
517;券;5;ケン;1;4
8;圧;5;アツ;1;4
781;枝;5;シ、えだ;1;4
1038;職;5;ショク;1;4
1300;退;5;タイ、しりぞ-く、しりぞ-ける;1;4
2069;領;5;リョウ;1;4
1310;態;5;タイ;1;4
1846;報;5;ホウ、むく-いる;1;4
844;舎;5;シャ;1;4
78;易;5;エキ、イ、やさ-しい;2;4
1871;暴;5;ボウ、[バク]、あば-く、あば-れる;2;4
114;桜;5;オウ、さくら;1;4
1662;判;5;ハン、バン;2;4
140;価;5;カ、あたい;1;4
1683;比;5;ヒ、くら-べる;1;4
413;境;5;キョウ、[ケイ]、さかい;2;4
169;賀;5;ガ;1;4
940;準;5;ジュン;1;4
1455;程;5;テイ、ほど;1;4
438;禁;5;キン;1;4
1206;祖;5;ソ;1;4
1719;俵;5;ヒョウ、たわら;1;4
720;財;5;ザイ、[サイ];2;4
222;確;5;カク、たし-か、たし-かめる;1;4
1772;複;5;フク;1;4
1552;徳;5;トク;1;5
788;師;5;シ;1;5
1813;編;5;ヘン、あ-む;1;5
1307;貸;5;タイ、か-す;1;5
1587;任;5;ニン、まか-せる、まか-す;1;5
80;益;5;エキ、[ヤク];2;5
81;液;5;エキ;1;5
852;謝;5;シャ、あやま-る;1;5
1923;夢;5;ム、ゆめ;1;5
135;可;5;カ;1;5
676;混;5;コン、ま-じる、ま-ざる、ま-ぜる、こ-む;1;5
1706;備;5;ビ、そな-える、そな-わる;1;5
695;災;5;サイ、わざわ-い;1;5
1208;素;5;ソ、ス;2;5
191;解;5;カイ、ゲ、と-く、と-かす、と-ける;2;5
1255;像;5;ゾウ;1;5
1013;状;5;ジョウ;1;5
512;潔;5;ケツ、いさぎよ-い;1;6
528;険;5;ケン、けわ-しい;1;6
1600;能;5;ノウ;1;6
339;技;5;ギ、わざ;1;6
609;効;5;コウ、き-く;1;6
357;逆;5;ギャク、さか、さか-らう;1;6
364;旧;5;キュウ;1;6
128;恩;5;オン;1;6
1666;版;5;ハン;1;6
955;序;5;ジョ;1;6
1990;預;5;ヨ、あず-ける、あず-かる;1;6
1245;総;5;ソウ;1;6
1760;武;5;ブ、ム;2;6
1769;復;5;フク;1;6
1265;則;5;ソク;1;6
1814;弁;5;ベン;1;7
1858;防;5;ボウ、ふせ-ぐ;1;7
1114;性;5;セイ、ショウ;2;7
101;演;5;エン;1;7
1691;非;5;ヒ;1;7
968;招;5;ショウ、まね-く;1;7
721;罪;5;ザイ、つみ;1;7
468;群;5;グン、む-れる、む-れ、[むら];1;7
1270;測;5;ソク、はか-る;1;7
1277;率;5;ソツ、リツ、ひき-いる;2;7
799;資;5;シ;1;8
1347;団;5;ダン、[トン];2;8
838;質;5;シツ、シチ、[チ];3;8
586;護;5;ゴ;1;8
1921;務;5;ム、つと-める、つと-まる;1;8
1158;接;5;セツ、つ-ぐ;1;8
1988;余;5;ヨ、あま-る、あま-す;1;8
214;格;5;カク、[コウ];2;8
229;額;5;ガク、ひたい;1;8
1012;条;5;ジョウ;1;8
321;基;5;キ、もと、もとい;1;9
1149;責;5;セキ、せ-める;1;9
641;構;5;コウ、かま-える、かま-う;1;9
1159;設;5;セツ、もう-ける;1;9
1929;迷;5;メイ、まよ-う;1;9
28;移;5;イ、うつ-る、うつ-す;1;10
1130;精;5;セイ、[ショウ];2;10
389;許;5;キョ、ゆる-す;1;10
928;術;5;ジュツ;1;10
446;句;5;ク;1;10
1607;破;5;ハ、やぶ-る、やぶ-れる;1;11
343;義;5;ギ;1;11
1111;制;5;セイ;1;11
1019;情;5;ジョウ、[セイ]、なさ-け;2;11
2051;留;5;リュウ、[ル]、と-める、と-まる;2;12
775;志;5;シ、こころざ-す、こころざし;1;12
322;寄;5;キ、よ-る、よ-せる;1;13
969;承;5;ショウ、うけたまわ-る;1;17
1254;造;5;ゾウ、つく-る;1;17
297;眼;5;ガン、[ゲン]、まなこ;2;23
702;採;5;サイ、と-る;1;41
